,Ticker,Shares
1,HOOD,2851.6028485079105
2,SQ,1083.6118914874714
3,DUOL,249.39861456972068
4,SHOP,706.595503511342
5,ORCL,327.1440797463312
6,GM,822.258185486724
7,AXP,157.73373088412944
8,AMZN,211.35460922221222
9,GOOG,221.0891981380186
10,BAC,713.6124091692071
11,JPM,133.36386742185985
12,COST,30.790692284413524
